Medicine_ID,Medicine_Name,Strength,Use_Case,Alternative,Stock,Dosage_Instruction,Generic name,Brand name,Manufacturer,ATC category,Prescription/OTC status,Form,Price
13,Omeprazole,20 mg,Acidity / ulcers,Pantoprazole,Yes,1 capsule before breakfast,Omeprazole,OmeprazoleForte,Abbott,D01,Prescription,Syrup,508.05
14,Levocetirizine,5 mg,Allergy,Cetirizine,Yes,1 tablet at night,Levocetirizine,LevocetirizineForte,Mankind,M01,Prescription,Tablet,557.33
15,Loratadine,10 mg,Allergy,Cetirizine,Yes,1 tablet daily,Loratadine,LoratadineMax,Mankind,A02BC,Prescription,Syrup,558.97
16,Montelukast,10 mg,Allergic rhinitis / asthma,Levocetirizine,Yes,1 tablet at night,Montelukast,MontelukastCare,Alkem,J01,Prescription,Capsule,253.79
17,Salbutamol Inhaler,100 mcg,Asthma relief,Levosalbutamol,No,1-2 puffs as needed,Salbutamol,SalbutamolAdvance,Lupin,D01,Prescription,Capsule,574.52
18,Amlodipine,5 mg,Hypertension,Telmisartan,Yes,1 tablet daily,Amlodipine,AmlodipineDS,Torrent,C09,Prescription,Syrup,350.45
19,Telmisartan,40 mg,Hypertension,Amlodipine,Yes,1 tablet daily,Telmisartan,TelmisartanDS,Mankind,N02,Prescription,Cream,400.51
20,Losartan,50 mg,Hypertension,Telmisartan,Yes,1 tablet daily,Losartan,LosartanCare,Pfizer,M01,Prescription,Syrup,130.51
21,Atorvastatin,10 mg,High cholesterol,Rosuvastatin,Yes,1 tablet at night,Atorvastatin,AtorvastatinForte,Lupin,N02,Prescription,Capsule,67.93
22,Rosuvastatin,10 mg,High cholesterol,Atorvastatin,Yes,1 tablet at night,Rosuvastatin,RosuvastatinForte,Mankind,N02,Prescription,Syrup,353.7
23,Clopidogrel,75 mg,Antiplatelet,Aspirin,Yes,1 tablet daily,Clopidogrel,ClopidogrelMax,Lupin,N02,Prescription,Capsule,112.6
24,Dolo 650,650 mg,Fever / pain,Paracetamol,Yes,1 tablet every 6-8 hrs,Dolo,DoloCare,GSK,M01,Prescription,Capsule,123.88
25,Diclofenac,50 mg,Pain / inflammation,Ibuprofen,Yes,1 tablet after food,Diclofenac,DiclofenacMax,Pfizer,B03,Prescription,Cream,349.8
26,Aceclofenac,100 mg,Pain / inflammation,Diclofenac,Yes,1 tablet twice daily,Aceclofenac,AceclofenacForte,Lupin,C09,Prescription,Cream,546.64
27,Domperidone,10 mg,Nausea,Ondansetron,Yes,1 tablet before meals,Domperidone,DomperidoneDS,Mankind,R06,Prescription,Capsule,644.41
28,Ondansetron,4 mg,Nausea / vomiting,Domperidone,Yes,1 tablet as needed,Ondansetron,OndansetronMax,Mankind,A02BC,Prescription,Syrup,539.49
29,Loperamide,2 mg,Diarrhea,ORS Solution,Yes,After each loose stool as directed,Loperamide,LoperamideAdvance,Mankind,A10,Prescription,Capsule,481.17
30,Zinc Sulfate,20 mg,Diarrhea supplementation,ORS Solution,Yes,1 tablet daily,Zinc,ZincCare,Abbott,B03,Prescription,Tablet,390.01
31,Doxycycline,100 mg,Bacterial infection,Azithromycin,No,1 capsule twice daily,Doxycycline,DoxycyclinePlus,Pfizer,J01,Prescription,Capsule,243.25
32,Ciprofloxacin,500 mg,Bacterial infection,Levofloxacin,No,1 tablet twice daily,Ciprofloxacin,CiprofloxacinMax,Torrent,A02BC,Prescription,Tablet,245.92
33,Levofloxacin,500 mg,Respiratory / urinary infection,Ciprofloxacin,No,1 tablet daily,Levofloxacin,LevofloxacinMax,Abbott,J01,Prescription,Tablet,149.27
34,Fluconazole,150 mg,Fungal infection,Clotrimazole,Yes,As prescribed,Fluconazole,FluconazoleDS,GSK,A02BC,Prescription,Tablet,541.44
35,Clotrimazole Cream,1%,Fungal skin infection,Fluconazole,Yes,Apply twice daily,Clotrimazole,ClotrimazoleAdvance,Abbott,D01,Prescription,Capsule,552.57
36,Albendazole,400 mg,Deworming,Mebendazole,Yes,Single dose as directed,Albendazole,AlbendazoleAdvance,Pfizer,R06,Prescription,Cream,322.65
37,Mebendazole,100 mg,Deworming,Albendazole,Yes,As directed,Mebendazole,MebendazoleMax,Abbott,D01,Prescription,Cream,52.99
38,Levothyroxine,50 mcg,Hypothyroidism,Thyroxine,Yes,Before breakfast,Levothyroxine,LevothyroxineMax,Abbott,J01,Prescription,Cream,280.7
39,Ferrous Sulfate,325 mg,Iron deficiency,Iron Folic Acid,Yes,1 tablet daily,Ferrous,FerrousMax,Torrent,R06,Prescription,Cream,578.18
40,Calcium Carbonate,500 mg,Calcium supplement,Calcium Citrate,Yes,1 tablet daily,Calcium,CalciumCare,GSK,A02BC,Prescription,Capsule,304.01
41,Folic Acid,5 mg,Folate deficiency,Ferrous Sulfate,Yes,1 tablet daily,Folic,FolicPlus,Pfizer,A10,Prescription,Tablet,504.93
42,Vitamin D3,60000 IU,Vitamin D deficiency,Cholecalciferol,Yes,Weekly as prescribed,Vitamin,VitaminCare,Abbott,J01,Prescription,Syrup,569.99
43,Hydrocortisone Cream,1%,Skin inflammation,Betamethasone,Yes,Apply thin layer 1-2 times daily,Hydrocortisone,HydrocortisoneAdvance,Lupin,A02BC,Prescription,Syrup,594.08
44,Betamethasone Cream,0.1%,Dermatitis,Hydrocortisone Cream,Yes,Apply as directed,Betamethasone,BetamethasoneAdvance,Alkem,J01,Prescription,Syrup,279.04
45,Mupirocin Ointment,2%,Bacterial skin infection,Fusidic Acid,Yes,Apply 3 times daily,Mupirocin,MupirocinDS,Alkem,D01,Prescription,Capsule,43.56
46,Nitroglycerin,0.5 mg,Angina,Isosorbide Mononitrate,No,As prescribed,Nitroglycerin,NitroglycerinForte,Mankind,M01,Prescription,Capsule,171.82
47,Isosorbide Mononitrate,30 mg,Angina,Nitroglycerin,Yes,1 tablet daily,Isosorbide,IsosorbideCare,Abbott,A02BC,Prescription,Tablet,570.68
48,Gliclazide,60 mg,Type 2 diabetes,Metformin,Yes,1 tablet with breakfast,Gliclazide,GliclazideCare,Abbott,R06,Prescription,Capsule,218.34
49,Glimepiride,2 mg,Type 2 diabetes,Metformin,Yes,1 tablet before breakfast,Glimepiride,GlimepirideMax,Mankind,C09,Prescription,Tablet,490.37
50,Sodium Bicarbonate,500 mg,Acidity,Pantoprazole,Yes,As directed,Sodium,SodiumCare,Torrent,N02,Prescription,Tablet,176.36
